dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss,train_Accuracy,train_ROC-AUC,train_F1-Score,train_Precision,train_Recall,train_MCC,train_Kappa,train_Log Loss
adolescent,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.7142857142857143,0.6923076923076923,0.7857142857142857,0.7333333333333333,0.8461538461538461,0.3721042037676254,0.36363636363636365,0.6221500866226954,0.9,0.9474,0.9019607843137255,0.8846153846153846,0.92,0.8006407690254356,0.8,0.49365802299173944
adolescent,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 2.1602177830877722, 'gamma': 0.057038430274030945, 'kernel': 'rbf'})",0.5714285714285714,0.5576923076923076,0.64,0.6666666666666666,0.6153846153846154,0.11322770341445958,0.11267605633802813,0.8091776854333587,0.88,0.9574,0.875,0.9130434782608695,0.84,0.7624437362098715,0.76,0.30893261189046717
adolescent,Normalizer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5238095238095238,0.5721153846153847,0.6153846153846154,0.6153846153846154,0.6153846153846154,-0.009615384615384616,-0.009615384615384581,5.650772353837754,0.85,0.9338,0.8514851485148515,0.8431372549019608,0.86,0.7001400420140049,0.7,0.29241786549753646
adolescent,Normalizer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6666666666666666,0.7019230769230769,0.72,0.75,0.6923076923076923,0.31137618438976383,0.3098591549295774,1.2688473355454482,0.98,0.9992000000000001,0.9795918367346939,1.0,0.96,0.9607689228305227,0.96,0.028217436829852796
adolescent,Normalizer,LDA,GridSearch,{'solver': 'svd'},0.5714285714285714,0.4807692307692308,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.8065595841535395,0.68,0.8172,0.68,0.68,0.68,0.36,0.36,0.5217828659385652
adolescent,Normalizer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.6190476190476191,0.6442307692307693,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.15504341823651058,0.1515151515151515,1.865616346686031,0.64,0.7240000000000001,0.6842105263157895,0.609375,0.78,0.2916666666666667,0.28,1.34605329019484
adolescent,Normalizer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",0.7619047619047619,0.7403846153846154,0.8148148148148148,0.7857142857142857,0.8461538461538461,0.4853626716970755,0.48275862068965514,0.6924650703469789,0.58,0.6448,0.5714285714285714,0.5833333333333334,0.56,0.16012815380508713,0.16000000000000003,0.692634110551627
adolescent,Normalizer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.08783376731568662, 'n_estimators': 232})",0.6666666666666666,0.6826923076923077,0.7741935483870968,0.6666666666666666,0.9230769230769231,0.2401922307076307,0.19672131147540972,0.6371258942227231,0.77,0.881,0.7889908256880734,0.7288135593220338,0.86,0.5489664835695152,0.54,0.5659408703540679
adolescent,Normalizer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 386})",0.6190476190476191,0.46153846153846156,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.19230769230769232,0.1923076923076923,0.7298579018836596,0.85,0.8974,0.8484848484848485,0.8571428571428571,0.84,0.7001400420140049,0.7,0.47545077764558136
adolescent,Normalizer,SVM,BayesianOptimization,"OrderedDict({'C': 27.364528220782454, 'gamma': 0.00032780432870046914, 'kernel': 'poly'})",0.6190476190476191,0.2596153846153846,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.2337367475021143,0.22935779816513768,0.6876361284148774,0.56,0.34919999999999995,0.5319148936170213,0.5681818181818182,0.5,0.12087344460380704,0.12,0.6934447372952998
adolescent,MaxAbsScaler,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7142857142857143,0.6538461538461537,0.75,0.8181818181818182,0.6923076923076923,0.4300756154038903,0.42201834862385323,3.871934854275802,0.75,0.8372,0.7311827956989247,0.7906976744186046,0.68,0.5049732270292355,0.5,0.47575001389264526
adolescent,MaxAbsScaler,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.47619047619047616,0.4519230769230769,0.56,0.5833333333333334,0.5384615384615384,-0.08492077756084468,-0.08450704225352124,5.702767344450165,0.86,0.9348000000000001,0.851063829787234,0.9090909090909091,0.8,0.7252406676228423,0.72,0.28760920608922974
adolescent,MaxAbsScaler,LDA,GridSearch,{'solver': 'svd'},0.5714285714285714,0.48076923076923084,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.831482926950517,0.72,0.8208,0.7083333333333334,0.7391304347826086,0.68,0.44141479464782035,0.43999999999999995,0.5260321501576388
adolescent,MaxAbsScaler,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.7619047619047619,0.6346153846153846,0.8148148148148148,0.7857142857142857,0.8461538461538461,0.4853626716970755,0.48275862068965514,1.7781004027757625,0.69,0.724,0.6990291262135923,0.6792452830188679,0.72,0.38068585235790897,0.38,1.2857879574469138
adolescent,MaxAbsScaler,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",0.5714285714285714,0.5769230769230769,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.6917202932088404,0.73,0.8011999999999999,0.7096774193548387,0.7674418604651163,0.66,0.4645753688668967,0.45999999999999996,0.560353947558629
adolescent,MaxAbsScaler,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.7401973698296331, 'n_estimators': 93})",0.5714285714285714,0.5528846153846154,0.6896551724137931,0.625,0.7692307692307693,0.021926450482675733,0.020725388601036232,0.6592073888628869,0.79,0.8888,0.7920792079207921,0.7843137254901961,0.8,0.5801160348116041,0.5800000000000001,0.596503588920724
adolescent,MaxAbsScaler,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.6190476190476191,0.6153846153846154,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.15504341823651058,0.1515151515151515,0.6338303137736252,0.88,0.943,0.8823529411764706,0.8653846153846154,0.9,0.7606087305741639,0.76,0.49356801001949435
adolescent,MaxAbsScaler,SVM,BayesianOptimization,"OrderedDict({'C': 15.925169151603527, 'gamma': 0.06578232405415442, 'kernel': 'rbf'})",0.5714285714285714,0.5288461538461539,0.6086956521739131,0.7,0.5384615384615384,0.1589409883014377,0.15246636771300448,0.7424572067030061,0.85,0.9308,0.8421052631578947,0.8888888888888888,0.8,0.7035264706814484,0.7,0.42745945568261334
